대학,학과_전공,정원
인문과학대학,국어국문학과,299
인문과학대학,중어중문학과,299
인문과학대학,불어불문학과,299
인문과학대학,독어독문학과,299
인문과학대학,사학과,299
인문과학대학,철학과,299
인문과학대학,기독교학과,299
인문과학대학,영어영문학부,91
사회과학대학,정치외교학과,290
사회과학대학,행정학과,290
사회과학대학,경제학과,290
사회과학대학,문헌정보학과,290
사회과학대학,사회학과,290
사회과학대학,사회복지학과,290
사회과학대학,심리학과,290
사회과학대학,소비자학과,290
사회과학대학,커뮤니케이션·미디어학부,79
자연과학대학,수학과,118
자연과학대학,통계학과,118
자연과학대학,물리학과,118
자연과학대학,화학·나노과학전공,149
자연과학대학,생명과학전공,149
엘텍공과대학,휴먼기계바이오공학부,110
엘텍공과대학,컴퓨터공학전공,105
엘텍공과대학,사이버보안전공,105
엘텍공과대학,전자전기공학전공,155
엘텍공과대학,화학신소재공학전공,155
엘텍공과대학,식품공학전공,155
엘텍공과대학,기후·에너지시스템공학전공,144
엘텍공과대학,환경공학전공,144
엘텍공과대학,건축도시시스템공학전공,144
엘텍공과대학,건축학전공,144
음악대학,건반악기과,164
음악대학,관현악과,164
음악대학,성악과,164
음악대학,작곡과,38
음악대학,한국음악과,38
음악대학,무용과,38
조형예술대학,동양화전공,113
조형예술대학,서양화전공,113
조형예술대학,조소전공,113
조형예술대학,도자예술전공,113
조형예술대학,디자인학부,80
조형예술대학,섬유예술전공,47
조형예술대학,패션디자인전공,47
사범대학,교육학과,27
사범대학,유아교육과,29
사범대학,초등교육과,39
사범대학,교육공학과,30
사범대학,유아특수교육전공,35
사범대학,초등특수교육전공,35
사범대학,중등특수교육전공,35
사범대학,영어교육과,37
사범대학,역사교육전공,71
사범대학,사회교육전공,71
사범대학,지리교육전공,71
사범대학,국어교육과,27
사범대학,물리교육전공,86
사범대학,화학교육전공,86
사범대학,생물교육전공,86
사범대학,지구과학교육전공,86
사범대학,수학교육과,27
경영대학,경영학부,116
신산업융합대학,융합콘텐츠학과,177
신산업융합대학,의류산업학과,177
신산업융합대학,국제사무학과,177
신산업융합대학,식품영양학과,177
신산업융합대학,융합보건학과,177
신산업융합대학,스포츠과학전공,52
신산업융합대학,글로벌스포츠산업전공,52
의과대학,의예과,76
의과대학,의학과,23 [53]
간호대학,간호학전공,78
간호대학,글로벌건강간호학전공,78
약학대학,약학과,120
스크랜튼대학,자유전공,40
스크랜튼대학,뇌·인지과학전공,30
스크랜튼대학,국제학전공,68
스크랜튼대학,글로벌한국학전공,68
