prompts,answers
"QUESTION 1) 복수전공의 정의로 옳은 것은?

(A) 2개 이상의 전공을 동시에 이수하는 전공을 말한다.
(B) 학생이 교육과정을 스스로 구성하여 신청하는 전공을 말한다.
(C) 학과와 학부가 함께 운영하는 전공을 말한다.
(D) 제1전공을 기반으로 타학문과 융합된 교육과정을 말한다.",(A)
"QUESTION 2) 연계전공의 정의로 옳은 것은?

(A) 학생이 임의로 구성하는 전공을 말한다.
(B) 2 이상의 학과, 학부 또는 학과와 학부가 연계하여 제공하는 전공이다.
(C) 제1전공 기반 융복합 교육과정이다.
(D) 교수 승인으로 인정받는 심화전공이다.",(B)
"QUESTION 3) 융합전공에 대한 설명으로 옳은 것은?

(A) 타학문과 융복합 교육과정을 제공하는 전공이다.
(B) 학생 개인이 설계하는 자율 전공이다.
(C) 두 개 학부가 공동으로 만든 전공이다.
(D) 전공 과목 21학점 이상 취득 시 자동 인정되는 전공이다.",(A)
"QUESTION 4) 자기설계전공의 정의로 알맞은 것은?

(A) 특정 학과에서 심화된 교육과정을 제공하는 전공
(B) 학생이 교육과정을 구성하고 대학의 인정을 받은 전공
(C) 복수전공을 심화한 전공
(D) 국제교류센터 협정을 기반으로 수강하는 전공",(B)
"QUESTION 5) 부전공 인정 기준으로 올바른 것은?

(A) 제1전공 포함 총 30학점 이상 취득 시 인정된다.
(B) 특정 전공 교과목 18학점 이상 취득 시 인정된다.
(C) 총장이 정한 바에 따라 21학점 이상 취득하면 부전공으로 인정된다.
(D) 복수전공을 신청한 학생만 부전공을 신청할 수 있다.",(C)
"QUESTION 6) 심화전공에 대한 설명으로 옳은 것은?

(A) 학과에서 정한 최소전공학점을 초과하여 일정 학점을 더 취득하는 제도이다.
(B) 학생이 직접 설계하는 융합형 전공이다.
(C) 2개 이상의 전공을 선택할 수 있는 과정이다.
(D) 외국대학과 협정을 기반으로 운영되는 전공이다.",(A)
"QUESTION 7) 학년과 학기에 대한 학칙 규정으로 옳은 것은?

(A) 학년은 4월 1일부터 다음 해 3월 말일까지이다.
(B) 학년은 3월 1일부터 다음 해 2월 말일까지이며 1·2학기로 나눈다.
(C) 학년은 1월 1일부터 시작된다.
(D) 학년은 2학기제로 운영되지 않는다.",(B)
"QUESTION 8) 수업일수에 대한 규정으로 가장 적절한 것은?

(A) 1학기 수업일수는 10주 이상이어야 한다.
(B) 연간 수업일수는 24주 이상이어야 한다.
(C) 매 학기 15주 이상, 연간 30주 이상이어야 한다.
(D) 계절학기는 반드시 6주 이상이어야 한다.",(C)
"QUESTION 9) 휴학 규정으로 옳지 않은 것은?

(A) 1회의 휴학기간은 1년 이내이다.
(B) 임신·출산·육아 사유 휴학은 2년까지 허용한다.
(C) 신입생은 원칙적으로 입학 첫 학기에 휴학할 수 있다.
(D) 군복무 휴학은 의무복무기간만큼 추가로 허가된다.",(C)
"QUESTION 10) 재학연한 관련 규정으로 옳은 것은?

(A) 일반 학부 재학연한은 6년이다.
(B) 재학연한은 원칙적으로 8년을 초과할 수 없다.
(C) 복수전공자는 재학연한 제한이 없다.
(D) 휴학기간은 재학연한에 산입된다.",(B)
"QUESTION 11) 졸업을 위해 필요한 총 취득학점에 대한 규정으로 옳은 것은?

(A) 모든 학과의 졸업학점은 동일하며 140학점이다.
(B) 졸업학점은 원칙적으로 129학점이다.
(C) 졸업학점은 학과별 최소 110학점으로 정한다.
(D) 모든 학생은 150학점 이상 취득해야 한다.",(B)
"QUESTION 12) 성적 경고(학사경고) 관련 규정으로 옳은 것은?

(A) 평균평점이 2.00 미만이면 학사경고 1회로 간주한다.
(B) 학사경고는 최대 5회까지 가능하다.
(C) 평균평점 1.60 미만이면 학사경고가 부여된다.
(D) 학사경고는 학과장이 임의로 부여할 수 있다.",(C)
"QUESTION 13) 제적 사유에 대한 설명으로 옳은 것은?

(A) 등록금을 납부하지 않아도 자동 복학이 된다.
(B) 휴학기간 만료 후 3주 이내에 복학하지 않으면 제적될 수 있다.
(C) 타교 입학은 제적 사유가 아니다.
(D) 학사경고 5회 누적 시 제적된다.",(B)
"QUESTION 14) 전공 관련 규정 중 옳은 것은?

(A) 연계전공은 학생이 직접 설계하는 전공이다.
(B) 복수전공은 3개 이상의 전공을 동시에 이수하는 것만 말한다.
(C) 융합전공은 제1전공 기반 + 타학문 융복합 교육과정이다.
(D) 자기설계전공은 학과 간 협의로 자동 승인된다.",(C)
"QUESTION 15) 부전공 인정 기준으로 옳은 것은?

(A) 다른 전공 교과목 12학점 이상 취득 시 인정
(B) 다른 전공 교과목 15학점 이상 취득 시 인정
(C) 전공 교과목 21학점 이상 취득 시 인정
(D) 학과장이 승인하면 학점 취득과 관계없이 인정",(C)
"QUESTION 16) 학칙의 ‘학점 인정’과 ‘학점 취득 특례’ 규정에 대한 설명으로 옳은 것은?

(A) 학점취득특별시험은 전공과목만 대상으로 하며 최대 12학점까지 인정된다.
(B) 학점취득특별시험으로 취득한 학점은 학기당 취득학점 제한에 포함된다.
(C) 학점취득특별시험은 교양·전공기초 과목 중 특정 과목에서 가능하다.
(D) 외부 대학에서 취득한 학점은 학점취득특별시험으로 전환해야 인정된다.",(C)
"QUESTION 17) ‘재학연한’과 ‘휴학기간 산입’에 대한 규정으로 옳은 것은?

(A) 모든 휴학기간은 재학연한에 산입된다.
(B) 재학연한(8년)은 군휴학만 예외적으로 산입하지 않는다.
(C) 재학연한 규정에서 휴학기간은 산입하지 않는다.
(D) 복수전공자는 휴학기간이 재학연한에 포함된다",(C)
"QUESTION 18) 수업일수 감축 관련 학칙 규정으로 적절한 것은?

(A) 천재지변 등 사유가 있어도 수업일수는 감축할 수 없다.
(B) 천재지변 등 불가피한 경우 연간 4주의 범위에서 감축할 수 있다.
(C) 교육과정상 부득이한 경우 매 학년도 2주의 범위에서 감축 가능하다.
(D) 계절학기는 수업일수 감축의 대상이 아니다.",(C)
"QUESTION 19) 전과(소속 변경) 규정 중 옳은 것은?

(A) 전과는 학기 중 수시로 신청 가능하다.
(B) 전과 허가는 매 학년도 말에만 가능하다.
(C) 전과는 성적이나 학과별 기준 없이 신청만 하면 승인된다.
(D) 전과는 최초 입학 학부에서만 가능하며 타학부는 불가하다.",(B)
"QUESTION 20) ‘수강학점 제한’과 ‘평균성적 기준’에 대한 설명 중 올바른 것은?

(A) 직전 학기 평균 3.75 이상이면 21학점까지 수강 가능하다.
(B) 학사편입생은 24학점까지 자동 허용된다.
(C) 성적이 1.50 미만이면 다음 학기 수강신청은 불가하다.
(D) 의학과 학생의 최대 학점은 21학점으로 고정된다.",(A)
"QUESTION 21) ‘졸업 요건’에 대한 설명으로 틀린 것은?

(A) 졸업학점은 원칙적으로 129학점이다.
(B) 졸업을 위해 총 평균성적 1.70 이상이어야 한다.
(C) 모든 학생은 소정의 영어강의를 반드시 이수해야 한다.
(D) 휴학 중이라도 졸업요건 충족 시 즉시 졸업할 수 있다.",(D)
"QUESTION 22) ‘징계’ 관련 규정으로 옳은 것은?

(A) 징계는 근신·정학으로만 이루어지며 퇴학은 포함되지 않는다.
(B) 징계는 총장이 독단적으로 결정할 수 있다.
(C) 징계는 견책·근신·유기정학·무기정학·퇴학으로 구분한다.
(D) 징계를 받은 경우 재입학은 무조건 불가능하다.",(C)
"QUESTION 23) 다음 중 ‘수업연한’ 관련 규정으로 옳은 것은?

(A) 모든 단과대학의 수업연한은 4년으로 동일하며 예외가 없다.
(B) 약학대학은 5년 과정이며 기초·소양 교육 2년, 전공교육 3년이다.
(C) 의과대학은 6년 과정이며 의예과 2년, 의학과 4년이다.
(D) 건축학전공은 4년 과정이며 졸업요건에 따라 1년 연장 가능하다.", (C)
"QUESTION 24) 다음 중 ‘편입학’과 관련된 규정으로 올바른 것은?

(A) 학사편입생은 모두 제2학년으로 입학한다.
(B) 학사학위 취득자는 편입 시 입학정원 내로만 허가된다.
(C) 약학대학 편입은 기초·소양교육 1년 이상 이수한 경우 가능하다.
(D) 학사학위 취득자는 규정에 따라 제3학년(의학과는 1학년)에 편입 가능하다.",(D)
"QUESTION 25)  ‘정원 조정/학과 존치’ 관련 규정으로 옳은 것은?

(A) 모든 폐과는 즉시 학과를 해산하며 재적 학생은 자동 전과 처리된다.
(B) 부칙에 따르면 폐과된 학과는 재적 학생의 졸업년도까지 존치하는 조항이 존재한다.
(C) 부칙에서는 학과명 변경만 규정하고 정원 조정은 다루지 않는다.
(D) 폐과 조치는 반드시 입학정원 조정과 동시에 이루어져야 한다.",(B)
"QUESTION 26) 다음 중 2018학년도 사범대학의 실제 입학정원에 대한 설명으로 옳은 것은?

(A) 국어교육과는 37명이며 영어교육과는 27명이다.
(B) 과학교육과는 86명이며 수학교육과는 27명이다.
(C) 교육학과는 29명이며 유아교육과는 30명이다.
(D) 사회과교육과는 52명이며 역사교육전공은 29명이다.",(B)
"QUESTION 27) 다음 중 2017년 신산업융합대학의 입학정원 설명으로 옳은 것은?

(A) 융합콘텐츠학과 정원은 177명이며, 체육과학부는 52명이다.
(B) 식품영양학과 정원은 120명이며, 의류산업학과는 40명이다.
(C) 국제사무학과 52명, 융합보건학과 177명이다.
(D) 체육과학부는 40명이고 글로벌스포츠산업전공은 별도 12명이다.",(A)
"QUESTION 28) 다음 중 2016년 스크랜튼대학 및 약학대학 입학정원에 대한 설명으로 옳은 것은?

(A) 스크랜튼학부는 68명이고 국제학부는 40명이다.
(B) 약학대학은 40명이며 스크랜튼대학 전체 정원은 120명이다.
(C) 스크랜튼학부는 40명, 융합학부는 30명, 국제학부는 80명이다.
(D) 약학대학 정원은 90명이며 의예과와 동일하다.",(C)
"QUESTION 29) 다음 전공 중 수여되는 학위 종류가 올바르게 연결된 것은 무엇인가?

(A) 문헌정보학 전공을 이수하면 문헌정보학사 학위를 수여한다.
(B) 수학 전공을 이수하면 이학사 학위를 수여한다.
(C) 패션디자인 전공을 이수하면 디자인학사 학위를 수여한다.
(D) 환경공학 전공을 이수하면 화학생명공학사 학위를 수여한다.",(B)
"다음 중 연계전공 또는 융합전공에 대한 학사학위 연결이 옳은 것은 무엇인가?

(A) 인문경영 연계전공을 이수하면 경영학사 학위를 받는다.
(B) 인문예술미디어 연계전공을 이수하면 문학사 학위를 받는다.
(C) 인문테크놀로지 연계전공을 이수하면 이학사 학위를 받는다.
(D) 경제학 연계전공을 이수하면 경영학사 학위를 받는다.",(B)
